PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 450202 yugm2     20   0 4552408  14296   5248 S   0.0   0.0   5:14.10 main
 450202 yugm2     20   0 4552408  30604   5248 S   5.9   0.0   5:14.55 main
 450202 yugm2     20   0 4552408  30604   5248 S   0.0   0.0   5:14.55 main
 450202 yugm2     20   0 4552408  31920   5248 S   0.0   0.0   5:14.65 main
 450202 yugm2     20   0 4552408  31920   5248 S   0.0   0.0   5:14.65 main
 450202 yugm2     20   0 4552408  32436   5248 S   0.0   0.0   5:14.75 main
 450202 yugm2     20   0 4552408  33752   5248 S   5.9   0.0   5:14.87 main
 450202 yugm2     20   0 4552408  33752   5248 S   0.0   0.0   5:14.87 main
 450202 yugm2     20   0 4552408  34800   5248 S   0.0   0.0   5:14.97 main
 450202 yugm2     20   0 4552408  34800   5248 S   0.0   0.0   5:14.97 main
 450202 yugm2     20   0 4552408  39276   5248 S   0.0   0.0   5:15.24 main
 450202 yugm2     20   0 4552408  40068   5248 S   0.0   0.0   5:15.33 main
 450202 yugm2     20   0 4552408  40068   5248 S   0.0   0.0   5:15.33 main
 450202 yugm2     20   0 4552408  40332   5248 S   0.0   0.0   5:15.44 main
 450202 yugm2     20   0 4552408  40332   5248 S   0.0   0.0   5:15.44 main
 450202 yugm2     20   0 4552408  40860   5248 S   0.0   0.0   5:15.54 main
 450202 yugm2     20   0 4552408  41124   5248 S   0.0   0.0   5:15.64 main
 450202 yugm2     20   0 4552408  41124   5248 S   0.0   0.0   5:15.64 main
 450202 yugm2     20   0 4552408  41916   5248 S   0.0   0.0   5:15.75 main
 450202 yugm2     20   0 4552408  41916   5248 S   5.9   0.0   5:15.76 main
 450202 yugm2     20   0 4552408  42436   5248 S   0.0   0.0   5:15.85 main
 450202 yugm2     20   0 4552408  43492   5248 S   0.0   0.0   5:15.95 main
 450202 yugm2     20   0 4552408  43492   5248 S   0.0   0.0   5:15.95 main
 450202 yugm2     20   0 4552408  40588   5248 S   0.0   0.0   5:16.21 main
 450202 yugm2     20   0 4552408  40588   5248 S   0.0   0.0   5:16.21 main
 450202 yugm2     20   0 4552408  40852   5248 S   0.0   0.0   5:16.29 main
 450202 yugm2     20   0 4552408  41908   5248 S   0.0   0.0   5:16.39 main
 450202 yugm2     20   0 4552408  41908   5248 S   0.0   0.0   5:16.39 main
 450202 yugm2     20   0 4552408  42700   5248 S   0.0   0.0   5:16.49 main
 450202 yugm2     20   0 4552408  42960   5248 S  11.8   0.0   5:16.51 main
 450202 yugm2     20   0 4552408  43488   5248 S   0.0   0.0   5:16.59 main
 450202 yugm2     20   0 4552408  44016   5248 S   0.0   0.0   5:16.68 main
 450202 yugm2     20   0 4552408  44016   5248 S   0.0   0.0   5:16.68 main
 450202 yugm2     20   0 4552408  44276   5248 S   0.0   0.0   5:16.77 main
 450202 yugm2     20   0 4552408  44276   5248 S  11.8   0.0   5:16.79 main
 450202 yugm2     20   0 4552408  44804   5248 S   0.0   0.0   5:16.88 main
 450202 yugm2     20   0 4552408  43100   5248 S   0.0   0.0   5:17.05 main
 450202 yugm2     20   0 4552408  43100   5248 S   0.0   0.0   5:17.05 main
 450202 yugm2     20   0 4552408  43364   5248 S   0.0   0.0   5:17.16 main
 450202 yugm2     20   0 4552408  43364   5248 S  17.6   0.0   5:17.19 main
 450202 yugm2     20   0 4552408  43628   5248 S   0.0   0.0   5:17.26 main
 450202 yugm2     20   0 4552408  43888   5248 S   0.0   0.0   5:17.35 main
 450202 yugm2     20   0 4552408  43888   5248 S   0.0   0.0   5:17.35 main
 450202 yugm2     20   0 4552408  44416   5248 S   0.0   0.0   5:17.45 main
 450202 yugm2     20   0 4552408  44416   5248 S  17.6   0.0   5:17.48 main
 450202 yugm2     20   0 4552408  44416   5248 S   0.0   0.0   5:17.55 main
 450202 yugm2     20   0 4552408  44680   5248 S   0.0   0.0   5:17.65 main
 450202 yugm2     20   0 4552408  44680   5248 S   0.0   0.0   5:17.65 main
 450202 yugm2     20   0 4552408  44680   5248 S   0.0   0.0   5:17.74 main
 450202 yugm2     20   0 4552408  45040   5248 S 111.8   0.0   5:17.93 main
 450202 yugm2     20   0 4552408  45040   5248 S   0.0   0.0   5:18.00 main
 450202 yugm2     20   0 4552408  45040   5248 S   0.0   0.0   5:18.04 main
 450202 yugm2     20   0 4552408  45040   5248 S   0.0   0.0   5:18.04 main
 450202 yugm2     20   0 4552408  45040   5248 S   0.0   0.0   5:18.04 main
 450202 yugm2     20   0 4552408  45040   5248 S   0.0   0.0   5:18.04 main
 450202 yugm2     20   0 4552408  45040   5248 S   0.0   0.0   5:18.04 main
 450202 yugm2     20   0 4552408  45040   5248 S   0.0   0.0   5:18.04 main
 450202 yugm2     20   0 4552408  45040   5248 S   0.0   0.0   5:18.04 main
 450202 yugm2     20   0 4552408  45040   5248 S   0.0   0.0   5:18.04 main
 450202 yugm2     20   0 4552408  45040   5248 S   0.0   0.0   5:18.04 main
